Timestamp,What is your age?,What Occupation (Program) are you in?,Year of Study?,To which gender do you most identify? (Optional),What is your cultural background? (Optional),Did you know what ChatGPT was before this survey?,Have you ever tried using ChatGPT before?,What do you use ChatGPT for? (Select all that Apply),How often have you used ChatGPT?,Do you believe that ChatGPT provides accurate and reliable information?,Do you think using ChatGPT to complete academic assignments is a form of cheating?,Would you like your university to provide guidelines on the appropriate use of ChatGPT in academic work?,Do you think the use of ChatGPT in academic work is beneficial to students' learning?,Should universities allow the use of ChatGPT for research purposes only?,Should universities allow the use of ChatGPT for academic writing assignments?,Do you believe that the use of ChatGPT should be regulated or monitored by universities?,Would you recommend the use of ChatGPT to other students for academic purposes?
2/17/2023 15:02:07,18,Computer Science,1,Male,South Asian,Yes,No,,0,No,Yes,No,No,No,No,Yes,No
2/17/2023 15:02:15,21,Computer Science,1,Male,East Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Generating Creative Ideas and Content, Get feedback on Writing or Work",9,Yes,No,Yes,Yes,No,Yes,No,Yes
2/17/2023 15:02:57,21,Computer Science,3,Male,South Asian,Yes,Yes,"Education (Help with Assignments / Projects), Entertainment",3,No,No,Yes,Yes,No,Yes,No,Yes
2/17/2023 15:03:15,18,Computer Science,1,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",3,Yes,No,No,Yes,No,Yes,No,Yes
2/17/2023 15:03:36,19,Computer Science,1,Male,Caucasian,Yes,No,"Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content",0,Yes,Yes,No,Yes,Yes,No,Yes,No
2/17/2023 15:04:09,20,Computer Science,1,Male,East Asian,Yes,Yes,Education (Help with Assignments / Projects),1,Yes,Yes,Yes,Yes,No,No,Yes,No
2/17/2023 15:04:13,18,Computer Science,1,Male,South Asian,Yes,Yes,Entertainment,2,Yes,Yes,Yes,No,Yes,No,Yes,No
2/17/2023 15:04:39,18,Computer Science,1,Female,South Asian,Yes,Yes,To Learn New Things,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes
2/17/2023 15:04:48,19,Computer Science,1,Female,East Asian,No,No,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment",0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/17/2023 15:04:50,19,Computer Science,1,Male,European,Yes,Yes,Entertainment,3,Yes,Yes,No,No,No,No,Yes,No
2/17/2023 15:04:53,18,Computer Science,1,Male,East Asian,No,No,"Education (Help with Assignments / Projects), Generating Creative Ideas and Content",0,Yes,No,No,No,Yes,No,Yes,No
2/17/2023 15:04:53,20,Business,2,Female,South Asian,Yes,No,,0,No,Yes,Yes,Yes,Yes,No,Yes,No
2/17/2023 15:05:22,19,Computer Science,1,Female,Empty,Yes,No,,0,No,Yes,No,No,Yes,No,Yes,No
2/17/2023 15:05:40,23,Computer Science,1,Male,African,Yes,Yes,Entertainment,2,No,Yes,Yes,No,Yes,No,Yes,No
2/17/2023 15:12:15,18,Business,1,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Get feedback on Writing or Work",3,No,No,Yes,No,Yes,Yes,Yes,No
2/17/2023 15:12:54,18,Science,1,Female,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Get feedback on Writing or Work",5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/17/2023 15:13:57,19,Business,2,Male,Caucasian,Yes,No,,0,No,No,Yes,Yes,No,No,Yes,Yes
2/17/2023 15:15:01,18,Computer Science,1,Male,East Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content",4,Yes,Yes,Yes,No,No,No,No,No
2/17/2023 15:16:04,19,Computer Science,1,Male,East Asian,Yes,Yes,"Education (Help with Assignments / Projects), Generating Creative Ideas and Content",7,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2/17/2023 15:16:17,18,Mathematics,1,Female,East Asian,Yes,No,,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes
2/17/2023 15:17:43,22,Humanities ,1,Female,Hispanic or Latinx,Yes,No,,0,No,Yes,Yes,No,No,No,Yes,No
2/17/2023 15:18:59,18,Science,1,Female,East Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Get feedback on Writing or Work",6,No,Yes,No,Yes,Yes,No,No,No
2/17/2023 15:24:06,20,Computer Science,1,Male,European,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Generating Creative Ideas and Content, Get feedback on Writing or Work",8,Yes,No,Yes,Yes,No,Yes,No,Yes
2/17/2023 15:25:13,20,Engineering and Architectural Science,2,Female,South Asian,Yes,No,,0,No,Yes,Yes,No,Yes,No,Yes,No
2/17/2023 15:26:47,18,Computer Science,1,Male,Middle Eastern,Yes,No,,0,No,Yes,Yes,No,No,No,Yes,No
2/17/2023 15:46:09,18,Business,1,Male,South Asian,Yes,Yes,"Education (Help with Assignments / Projects), Generating Creative Ideas and Content, Get feedback on Writing or Work",1,Yes,No,Yes,Yes,Yes,No,Yes,Yes
2/17/2023 15:49:11,19,Computer Science,1,Male,East Asian,Yes,No,"Generating Creative Ideas and Content, Get feedback on Writing or Work",1,No,Yes,Yes,No,Yes,No,Yes,No
2/17/2023 16:26:29,19,Film ,1,Male,South Asian,Yes,No,"To Learn New Things, Education (Help with Assignments / Projects), Get feedback on Writing or Work",0,Yes,No,No,Yes,Yes,No,No,No
2/17/2023 18:14:15,18,Mathematics,1,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Get feedback on Writing or Work",8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2/17/2023 18:30:20,18,Engineering and Architectural Science,1,Female,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Generating Creative Ideas and Content",4,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2/17/2023 18:34:04,18,Computer Science,1,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content",6,No,No,Yes,Yes,No,No,Yes,Yes
2/17/2023 18:37:18,18,Cognitive Science,1,Male,East Asian,Yes,No,"To Learn New Things, Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",0,No,Yes,Yes,Yes,Yes,No,Yes,No
2/17/2023 18:40:08,18,Business,1,Male,East Asian,No,No,,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes
2/17/2023 18:51:47,18,Law,1,Male,East Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",4,Yes,No,Yes,Yes,Yes,No,Yes,Yes
2/17/2023 19:36:04,18,Computer Science,1,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Get feedback on Writing or Work",3,Yes,Yes,Yes,No,Yes,No,Yes,Yes
2/17/2023 21:03:45,19,Engineering and Architectural Science,2,Male,South Asian,Yes,No,"To Learn New Things, Entertainment, Get feedback on Writing or Work",0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/17/2023 21:09:29,19,Medical,1,Male,South Asian,Yes,No,,0,Yes,No,No,Yes,Yes,Yes,No,No
2/18/2023 12:46:10,21,Business,3,Female,South Asian,Yes,Yes,"Education (Help with Assignments / Projects), Generating Creative Ideas and Content, Get feedback on Writing or Work",2,Yes,No,Yes,Yes,Yes,Yes,No,Yes
2/18/2023 13:18:56,18,Computer Science,1,Male,South Asian,Yes,Yes,"Education (Help with Assignments / Projects), Entertainment",5,Yes,No,Yes,Yes,Yes,No,No,Yes
2/18/2023 13:56:41,18,Computer Science,1,Male,Hispanic or Latinx,Yes,Yes,"To Learn New Things, Entertainment",4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2/18/2023 13:57:28,18,Computer Science,1,Female,Southeast Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects)",8,Yes,Yes,Yes,Yes,Yes,No,No,Yes
2/18/2023 14:27:34,18,Computer Science,1,Male,European,Yes,No,,0,No,Yes,Yes,No,No,No,Yes,No
2/18/2023 18:49:07,19,Mathematics,2,Male,Caucasian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content",4,Yes,No,Yes,Yes,Yes,No,Yes,Yes
2/18/2023 20:45:00,20,Computer Science,1,Male,Middle Eastern,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/18/2023 20:47:11,20,Computer Science,1,Female,,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Generating Creative Ideas and Content",6,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/18/2023 20:59:03,19,Business,2,Female,East Asian,Yes,Yes,"To Learn New Things, Get feedback on Writing or Work",1,Yes,No,Yes,Yes,Yes,Yes,No,Yes
2/18/2023 21:11:02,22,Business,4,Female,South Asian,Yes,Yes,"Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",2,No,No,No,Yes,Yes,No,No,Yes
2/19/2023 10:38:38,18,Computer Science,1,Male,Middle Eastern,Yes,Yes,Education (Help with Assignments / Projects),1,Yes,No,No,Yes,No,Yes,No,Yes
2/19/2023 14:59:53,20,Computer Science,1,Trans woman,East Asian,Yes,No,,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2/19/2023 17:10:27,31,Computer Science,1,Male,Caucasian,Yes,Yes,Entertainment,1,No,Yes,Yes,No,Yes,No,Yes,No
2/19/2023 23:00:59,18,Business,1,Female,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
2/20/2023 13:42:18,18,Computer Science,1,Male,East Asian,Yes,No,,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No
2/20/2023 13:55:41,18,Computer Science,1,Female,South Asian,Yes,Yes,"To Learn New Things, Entertainment, Generating Creative Ideas and Content",1,No,Yes,Yes,Yes,No,No,Yes,Yes
2/20/2023 13:55:45,18,Computer Science,1,Female,Southeast Asian,Yes,No,"Education (Help with Assignments / Projects), Generating Creative Ideas and Content",1,No,Yes,Yes,Yes,No,Yes,Yes,Yes
2/20/2023 14:02:53,18,Computer Science,1,Male,Southeast Asian,Yes,Yes,"Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content",6,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2/20/2023 14:37:10,18,Computer Science,1,Male,Hispanic or Latinx,Yes,Yes,Entertainment,6,No,No,Yes,Yes,No,Yes,No,No
2/20/2023 14:49:28,18,Computer Science,1,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",4,Yes,Yes,Yes,Yes,Yes,No,No,Yes
2/20/2023 15:42:08,19,Computer Science,1,Male,East Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Generating Creative Ideas and Content",3,No,No,Yes,Yes,No,Yes,Yes,Yes
2/20/2023 16:42:27,18,Computer Science,1,Female,European,Yes,Yes,"Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content",1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/20/2023 16:52:54,18,Computer Science,1,Female,Mixed race ,Yes,No,"To Learn New Things, Entertainment, Generating Creative Ideas and Content",2,No,Yes,Yes,No,Yes,No,Yes,No
2/21/2023 18:10:29,19,Computer Science,1,Male,European,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment",6,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
2/21/2023 19:58:02,18,Computer Science,1,Female,East Asian,Yes,Yes,"Education (Help with Assignments / Projects), Entertainment",1,No,Yes,No,Yes,Yes,No,No,No
2/21/2023 22:17:48,18,Computer Science,1,Male,East Asian,Yes,Yes,"To Learn New Things, Entertainment, Generating Creative Ideas and Content",2,No,No,No,No,Yes,Yes,Yes,No
2/22/2023 20:51:17,18,Computer Science,1,Female,East Asian,Yes,Yes,To Learn New Things,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/22/2023 23:52:58,18,Concurrent Education ,1,Male,Mixed race ,Yes,No,,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/22/2023 23:53:27,18,Arts and Design,1,Female,East Asian,No,No,,0,No,No,No,No,No,Yes,Yes,Yes
2/22/2023 23:54:44,19,Educational Studies,1,Female,East Asian,Yes,No,,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2/23/2023 1:45:51,25,Computer Science,1,Female,South Asian,Yes,No,"To Learn New Things, Get feedback on Writing or Work",0,No,Yes,Yes,No,No,No,Yes,No
2/23/2023 10:35:34,18,Computer Science,1,Female,East Asian,Yes,No,,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes
2/24/2023 20:58:28,20,Computer Science,1,Female,South Asian,Yes,No,,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2/27/2023 22:49:41,19,Computer Science,2,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects)",5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/27/2023 22:50:41,18,Science,1,Female,South Asian,Yes,No,,0,Yes,No,No,Yes,No,Yes,No,Yes
2/27/2023 22:51:48,22,Business,4,Male,South Asian,Yes,Yes,"Education (Help with Assignments / Projects), Generating Creative Ideas and Content, Get feedback on Writing or Work",8,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
2/27/2023 22:55:17,21,Computer Science,4,Male,South Asian,Yes,Yes,Education (Help with Assignments / Projects),4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3/1/2023 22:20:54,18,Computer Science,1,Female,South Asian,Yes,Yes,To Learn New Things,2,Yes,No,Yes,No,Yes,Yes,No,Yes
3/15/2023 11:57:55,21,Arts and Design,3,Female,South Asian,Yes,Yes,"Generating Creative Ideas and Content, Get feedback on Writing or Work",6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3/15/2023 11:57:59,18,Arts and Design,1,Female,European,Yes,Yes,Education (Help with Assignments / Projects),2,Yes,No,Yes,Yes,Yes,No,Yes,Yes
3/15/2023 11:58:15,23,Arts and Design,3,Female,Caucasian,Yes,No,,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
3/15/2023 11:58:35,19,Engineering and Architectural Science,2,Male,East Asian,Yes,Yes,"To Learn New Things, Generating Creative Ideas and Content",1,No,Yes,Yes,Yes,No,No,No,Yes
3/15/2023 11:59:00,20,Arts and Design,3,Female,South Asian,Yes,Yes,"To Learn New Things, Entertainment, Get feedback on Writing or Work",4,Yes,Yes,No,Yes,Yes,No,No,Yes
3/15/2023 11:59:03,20,Performance Production ,2,Female,South Asian,Yes,Yes,Get feedback on Writing or Work,2,Yes,Yes,Yes,Yes,Yes,No,No,No
3/15/2023 11:59:16,20,Arts and Design,3,Male,Empty,Yes,Yes,"Entertainment, Get feedback on Writing or Work",4,Yes,No,No,Yes,No,Yes,No,Yes
3/15/2023 11:59:17,21,Creative Industries,3,Male,Hispanic or Latinx,Yes,Yes,"Generating Creative Ideas and Content, Get feedback on Writing or Work",5,No,No,No,Yes,No,Yes,Yes,Yes
3/15/2023 12:00:14,21,Arts and Design,3,Female,European,Yes,Yes,Get feedback on Writing or Work,2,Yes,Yes,No,No,Yes,Yes,Yes,Yes
3/15/2023 12:04:36,21,Sport Media ,4,Male,East Asian,Yes,Yes,To Learn New Things,1,Yes,Yes,Yes,No,Yes,No,Yes,No
3/15/2023 12:04:43,21,Interior Design,4,Female,Caribbean ,No,No,Get feedback on Writing or Work,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes
3/15/2023 12:04:59,20,Professional Communications,2,Female,Caucasian,Yes,Yes,To Learn New Things,1,No,Yes,No,Yes,Yes,No,No,No
3/15/2023 12:05:27,20,creative industries ,2,Female,Caucasian,Yes,Yes,Generating Creative Ideas and Content,3,Yes,No,Yes,Yes,Yes,No,No,Yes
3/15/2023 12:05:38,20,Creative School,1,Female,Caucasian,Yes,Yes,"Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",5,No,Yes,Yes,Yes,Yes,No,Yes,Yes
3/15/2023 12:05:42,18,Arts and Design,1,Female,East Asian,Yes,Yes,"To Learn New Things, Generating Creative Ideas and Content",1,No,Yes,Yes,No,No,No,Yes,No
3/15/2023 12:05:44,23,Fashion,1,Female,South Asian,No,No,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3/15/2023 12:05:55,1,Arts and Design,1,Female,South Asian,Yes,Yes,Entertainment,1,Yes,Yes,No,Yes,Yes,Yes,No,No
3/15/2023 12:06:49,20,Creative school ,2,Female,East Asian,No,No,Entertainment,0,Yes,Yes,Yes,Yes,Yes,No,No,No
3/16/2023 9:43:44,21,Computer Science,1,Male,Caucasian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Generating Creative Ideas and Content, Get feedback on Writing or Work",7,Yes,Yes,Yes,Yes,No,No,Yes,Yes
